TOTAL,Gen-Ed Sci and Math,3,PRE,CO,S/U
201100,COMPS DATA PROCESS,3,,,
201152,-,3,,,
201160,MAN/NATURE,3,,,
201161,HUMAN BEHAVIOUR,3,,,
201287,MAP APPLN,3,,,
298111,21C IN PRO COMMUNITY,3,,,Yes
298112,21C GEN PRIN HAL PROD,3,,,Yes
2101256,C E PROFESSION,3,,,
2102041,ICT TELECOM MGT,3,,,
2102209,ELECT ENG ESSENT,3,,,
2103201,INTRO MECH DESIGN,3,,,
2105261,CHEM PROD IND,3,,,
2107219,URBAN ENVIRONMENTS,3,,,
2107220,ENV DAILY LIFE,3,,,
2107221,ENV STUD,3,,,
2109336,MAT DAILY LIFE,3,,,
2110191,INNOV THINK,3,,,
2110221,COMP ENG ESS,3,,,
2111201,GEN RAD NUCLEAR,3,,,
2111330,MOD MAT PROP RAD,3,,,
2112210,WATER/SOC,3,,,
2140111,EXPL ENG WORLD,3,,,
2140145,HOME IMPROVEMENT,3,,,
2141100,INTRO NANOTECH,3,,,
2142109,AUTO STUDIES,3,,,
2143101,INTRO ICE,3,,,
2145497,SEL TOP AERO I,3,,,
2147102,INTRO ROBOTICS,3,,,
2147111,EXPL ROBOTICS ENG,3,,,
2183281,INTRO AUTO ENG,3,,,
2189336,MAT DAILY LIFE,3,,,
2300150,NATURAL SCIENCE,3,,,
2300152,SCIENCE TODAY,3,,,
2300200,SCI TECH SOC,3,,,
2301170,COMP PROG,3,,,
2302190,CHEM MOD LIFE,3,,,
2303150,BIRDWATCH CONSERV,3,,,
2303165,MAN & ENVIRONMENT,3,,,
2304274,PHYS BIO SYS,3,,,
2305103,PL BETTER LIFE,3,,,
2305107,PLANT WORLD,3,,,
2305108,BIOTECH DAILY LIFE,3,,,
2305109,PL GROW TECH,3,,,
2305120,THAI NAT REFOR,3,,,
2305151,ORGANIC GARDENING,3,,,
2305161,GENETICS FOR LIFE,3,,,
2305181,PL BIOTECH SOC,3,,,
2305281,HORT SCI,2,,,
2305352,SOIL PL RELATIONS,2,,,
2305354,HYDROPONICS,2,,,
2305355,HYDROPONICS LAB,1,,,
2305401,ORCHID BIOLOGY,2,,,
2306416,MGT SYS TECH,3,,,
2307204,EARTH SCIENCES,3,,,
2307205,INTRO GEM SCI,3,,,
2307206,EARTH SCIENCES,3,,,
2307230,EARTH SURFACE,3,,,
2307578,ENG GEOLOGY,3,,,
2308200,SCI LOGIST SYS,3,,,
2308303,HISTORY OF SCI,3,,,
2308354,STRATEGY OF LIFE,3,,,
2309201,GEN OCEANOLOGY,2,,,
2309202,ORNAMEN FISH AQUA,3,,,
2310201,HEALTH/BEAUTY,3,,,
2310202,SMT BUY CONS PROD,3,,,
2311132,NEW TECH MAT SCI,3,,,
2313210,VISUAL MEDIA TECH,3,,,
2313213,DIGITAL PHOTO,3,,,
2313221,PHOTO SCI,3,,,
2313222,FOUND DIGI IMG,2,,,
2313226,PRINT MEDIA TECH,3,,,
2313250,PRINTING TECH,3,,,
2314255,ELEMENT FOOD TECH,3,,,
2314257,INTRO PACK TECH,3,,,
2398130,21C MUGGLE MECHANICS,3,,,Yes
2398131,21C PHYS FILMS,3,,,Yes
2705455,DRUGS & NARCOTICS,3,,,
2952165,COMP APP ECON,3,,,
3000112,FIRST AID RESUS,3,,,
3010101,DRUG DAILY LIFE,3,,,
3011102,CA NONMED STUD,3,,,
3101101,COMP APP PROF,1,,,
3102114,ANL BEHAVIOR,2,,,
3102216,ANL BEHAVIOR,2,,,
3107201,BIOSTATISTICS,3,,,
3107302,BIOSTATISTICS,3,,,
3141102,ANIMAL BEHAVIOR,3,,,
3141105,COMP APP PROF,3,,,
3141213,BIOSTATISTICS,3,,,
3200102,BIOETHICS,1,,,
3200103,COM APP PROF,1,,,
3200106,FUND ORAL BIO HLTH,3,,,
3200109,CALCIUM HLTH,3,,,
3200110,TRAV HUMAN BODY,3,,,
3200504,BIOSTATISTICS,2,,,
3200601,HLTH ORG ADMIN,2,,,
3213101,FUND ORAL BIO HLTH,3,,,
3301102,COSMETICS DLY LIFE,3,,,
3304102,DRUG EDUCATION,3,,,
3306101,USEFUL PLANTS,3,,,
3307101,BASIC AROMATHERAPY,3,,,
3308100,MICRO ORGAN/LIFE,3,,,
3308101,HYG ENV MICROBIO,3,,,
3309101,LIFE/HEALTH,3,,,
3309102,OUR BODY,3,,,
3310101,MAN/TOXIC SUBS,3,,,
3600202,NUTRITION,2,,,
3600204,HLTH SEXUALITY,3,,,
3600205,FAM HLTH CARE,3,,,
3600206,COM HLTH DEV,3,,,
3600207,HLTH LIVING,3,,,
3600208,TOB ALC HLTH,3,,,
3600209,EMER DISAS CARE,3,,,
3640201,NUTRI CHILDREN,3,,,
3640202,NUR INF PRESCH CHL,3,,,
3640203,MTRNL CHILD HEALTH,2,,,
3641201,EMERGENCY NURSING,3,,,
3643201,-,2,,,
3700104,INT HC NEW GEN,3,,,
3700105,FOOD SCI ART,3,,,
3700106,HEALTH PROMOTION,3,,,
3700107,SEXUAL DEVELOPMENT,3,,,
3700108,HLTH PREV INFC DIS,3,,,
3700109,IMMUNITY OF LIFE,3,,,
3700110,GOOD HEALTH,3,,,
3700113,BLOOD ESS LIFE,3,,,
3700114,INTRO ENVI TOX,3,,,
3700210,MOD TECH HLTH,3,,,
3705102,RADIA DAILY LIFE,3,,,
3705103,PREP DIAG RAD PROC,3,,,
3741101,COMP HLTH SCI,2,,,
3741102,LIVE SMART HLTHY,2,,,
3741207,MOD TECH,2,,,
3741208,LIFE LEARN SKILLS,2,,,
3741329,PATIENT SAFETY,1,,,
3741426,START UP BUSIN MT,1,,,
3742100,PHY THR DAILY LIFE,3,,,
3742102,EXERCISE THERAPY,3,,,
3742106,BLC BODY MIND QOL,3,,,
3742107,LIFE KNOWLEDGE,3,,,
3743422,WEIGHT CONTROL,3,,,
3900200,EX/SP HLTH,3,,,
3900202,FUNC EX,3,,,
3900203,TREK MTNG EX,3,,,
4000205,ORG AGR,3,,,
4000210,QUAN ANAL AGRI BUS,3,,,
5698101,21C EMG TECH LLL,3,,,Yes
2312100,MICROB FRIEND FOE,3,,,
